"cisa","yr","id","nes","samp","ad","age","fledged","hatched","eggs","nsuccess","mean_lui","TET..A","TET..B","TET..Y","TET..K","TET..M","TET..Q","TET..S","TET..W","sulI","sulII","str","aadA","catI","catII","ermB","ermF","qnrB","blaTEM","qnrS","mecA","mcr.1","TET","SULF","AMIN","PHEN","MACR","BLACT","QUIN","POLIMYX","sum","MDR","s.nsuccess","s.lui","s.age","TET..A_inv10","TET..B_inv10","TET..Y_inv10","TET..K_inv10","TET..M_inv10","TET..Q_inv10","TET..S_inv10","TET..W_inv10","sulI_inv10","sulII_inv10","str_inv10","aadA_inv10","catI_inv10","catII_inv10","ermB_inv10","ermF_inv10","qnrB_inv10","qnrS_inv10","blaTEM_inv10","mecA_inv10","mcr.1_inv10","Burden_inv10","Burden_Log10"
21001,2020,"55","8",2,"F3AA",4,0,4,4,0,NA,NA,NA,NA,NA,NA,-2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,NA,NA,NA,1,0,0,0,0,1,0,0,2,0,-1.94170776517039,NA,-0.929370020634369,NA,NA,NA,NA,NA,0.00794328234724281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316227766016838,NA,NA,0.324171048364081,-2.6
21002,2020,"57","10",2,"N170",9,3,3,3,100,NA,NA,NA,NA,NA,NA,-1.6,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6,NA,NA,NA,1,0,0,0,0,1,0,0,2,0,1.52857845343201,NA,0.187269803907551,NA,NA,NA,NA,NA,0.0251188643150958,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0251188643150958,NA,NA,0.0602377286301916,-5.2
21003,2020,"51","12",1,"C98A",NA,2,2,5,40,NA,NA,NA,NA,NA,NA,-5.2,NA,NA,NA,-4.1,NA,-4.4,NA,NA,NA,NA,NA,-4.2,NA,NA,NA,1,1,1,0,0,1,0,0,4,1,-0.553593277729429,NA,NA,NA,NA,NA,NA,NA,6.30957344480193e-06,NA,NA,NA,7.94328234724282e-05,NA,3.98107170553497e-05,NA,NA,NA,NA,NA,NA,6.30957344480193e-05,NA,NA,0.000188648848420599,-17.9
21004,2020,"29","34",2,"A09X",10,0,5,5,0,NA,NA,NA,NA,-5.7,NA,-4.5,-4.4,NA,NA,NA,NA,NA,NA,NA,-3.8,NA,NA,-3.4,NA,NA,NA,1,0,0,0,1,1,0,0,3,1,-1.94170776517039,NA,0.410597768815935,NA,NA,NA,1.99526231496888e-06,NA,3.16227766016838e-05,3.98107170553497e-05,NA,NA,NA,NA,NA,NA,NA,0.000158489319246111,NA,NA,NA,0.000398107170553497,NA,NA,0.000630025245771611,-21.8
21005,2020,"27","35",2,"CX94_F104",5,2,2,3,67,NA,NA,NA,NA,NA,NA,-3,-3.5,-3,NA,-3,-3.8,-3.1,NA,NA,-2.4,NA,-2.5,-2.2,NA,NA,NA,1,1,1,0,1,1,1,0,6,1,0.383384001293217,NA,-0.706042055725985,NA,NA,NA,NA,NA,0.001,0.000316227766016838,0.001,NA,0.001,0.000158489319246111,0.000794328234724281,NA,NA,0.00398107170553497,NA,0.00316227766016838,NA,0.00630957344480193,NA,NA,0.0177219681304925,-26.5
21006,2020,"9","40",2,"SXX1",NA,2,4,5,40,NA,NA,NA,NA,NA,NA,-2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.7,NA,NA,NA,1,0,0,0,0,1,0,0,2,0,-0.553593277729429,NA,NA,NA,NA,NA,NA,NA,0.00199526231496888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199526231496888,NA,NA,0.0219478854646577,-4.4
21007,2020,"35","109",2,"CXW3",5,3,4,5,60,NA,NA,NA,NA,NA,NA,-3.4,-3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.9,NA,NA,NA,1,0,0,0,0,1,0,0,2,0,0.140463965991049,NA,-0.706042055725985,NA,NA,NA,NA,NA,0.000398107170553497,0.000251188643150958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00125892541179417,NA,NA,0.00190822122549862,-9.9
21008,2020,"39","143",1,"0|005_02L1",2.5,2,4,4,50,NA,NA,NA,NA,-5,NA,-4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,1,0,0,0,0,1,0,0,2,0,-0.20656465586919,NA,-1.26436196799695,NA,NA,NA,1e-05,NA,3.98107170553497e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,NA,0.00104981071705535,-12.4
21009,2020,"33","147",2,"0|05W",3,0,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,NA,NA,NA,0,0,0,0,0,1,0,0,1,0,-1.94170776517039,NA,-1.15269798554275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.501187233627272,NA,NA,0.501187233627272,-0.3
21010,2020,"1","157",2,"X219",NA,2,2,2,100,NA,NA,NA,-3.7,-4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.8,NA,NA,NA,1,0,0,0,0,1,0,0,2,0,1.52857845343201,NA,NA,NA,NA,0.000199526231496888,1.25892541179417e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000158489319246111,NA,NA,0.000370604804860941,-12.4
21011,2020,"3","160",1,"CXCN",5,0,0,0,0,NA,NA,-3.6,NA,-4.3,NA,-3.9,-3.6,NA,NA,NA,NA,-4.2,NA,NA,NA,NA,-5,-2.8,NA,NA,NA,1,0,1,0,0,1,1,0,4,1,-1.94170776517039,NA,-0.706042055725985,NA,0.000251188643150958,NA,5.01187233627273e-05,NA,0.000125892541179417,0.000251188643150958,NA,NA,NA,NA,6.30957344480193e-05,NA,NA,NA,NA,1e-05,NA,0.00158489319246111,NA,NA,0.00233637747775319,-27.4
21012,2020,"23","230",2,NA,NA,0,2,3,0,NA,NA,NA,NA,-5,NA,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.4,NA,NA,-4.5,1,0,0,0,0,1,0,1,3,1,-1.94170776517039,NA,NA,NA,NA,NA,1e-05,NA,NA,1e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000398107170553497,NA,3.16227766016838e-05,0.000539729947155181,-16.9
21013,2020,"15","234",2,"C982",6,0,4,4,0,NA,NA,NA,NA,NA,NA,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,1,0,0,0,0,1,0,0,2,0,-1.94170776517039,NA,-0.482714090817601,NA,NA,NA,NA,NA,0.316227766016838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.1187233627272,NA,NA,50.4349511287441,1.2
21014,2020,"43","236",2,"N4N6",7,1,2,2,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8,NA,1.7,NA,NA,NA,0,0,0,0,1,1,0,0,2,0,-0.20656465586919,NA,-0.259386125909217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158489319246111,NA,NA,50.1187233627272,NA,NA,50.2772126819733,0.9
21015,2020,"17","240",2,"N0XF",10,0,4,4,0,NA,NA,-3.7,NA,-3.8,NA,NA,-3.7,NA,NA,NA,NA,NA,NA,NA,-2.8,NA,NA,-3.5,NA,NA,NA,1,0,0,0,1,1,0,0,3,1,-1.94170776517039,NA,0.410597768815935,NA,0.000199526231496888,NA,0.000158489319246111,NA,NA,0.000199526231496888,NA,NA,NA,NA,NA,NA,NA,0.00158489319246111,NA,NA,NA,0.000316227766016838,NA,NA,0.00245866274071784,-17.5
21016,2020,"37","300",1,"F3C0",4,1,4,3,33,NA,NA,NA,NA,-4.8,-4.5,NA,NA,NA,NA,-4.2,-4.6,-4.5,-4.2,NA,-0.2,-2.7,NA,-4,NA,NA,NA,1,1,1,1,1,1,0,0,6,1,-0.796513313031597,NA,-0.929370020634369,NA,NA,NA,1.58489319246111e-05,3.16227766016838e-05,NA,NA,NA,NA,6.30957344480193e-05,2.51188643150958e-05,3.16227766016838e-05,6.30957344480193e-05,NA,0.630957344480193,0.00199526231496888,NA,NA,1e-04,NA,NA,0.633283011613501,-33.7
