"nes","sampling_periods","year"
"10","1, 2, 3",2021
"109","1, 2, 3",2021
"12","1, 3",2021
"143","1, 3",2021
"147","1",2021
"157","1, 2, 3",2021
"160","1",2021
"1901","2, 3",2021
"1907","1, 3",2021
"1908","1, 2, 3",2021
"2018","2, 3",2021
"230","1",2021
"234","2, 3",2021
"236","2, 3",2021
"240","1, 3",2021
"300","1, 2, 3",2021
"301b","2, 3",2021
"304","1, 2, 3",2021
"305","1, 2, 3",2021
"34","1, 2, 3",2021
"35","1, 2, 3",2021
"802","2, 3",2021
"901","1, 2, 3",2021
"910","1, 3",2021
"911","2, 3",2021
"952","1, 2, 3",2021
"974b","2",2021
"A02","1, 3",2021
