,1,2,3,2020 Total,1,2,3,2021 Total,Grand Total,,,2020.00,,,,2021.00,,,,Grand Total
Sum of TET..A_inv10,0,0.041195535,0.000450715,0.04164625,0.001258925,0,0.006901755,0.008160681,0.04980693,,blTEM,91.72,17.858,99.338,86.369,85.70,77.620,98.453,83.507,86.29
Sum of TET..B_inv10,0.000251189,0.000199526,0,0.000450715,2.246702147,0.004482259,5.120572469,7.371756874,7.372207589,,tet(A),0.02,0.000,0.039,0.000,0.00,0.000,0.000,0.001,0.00
Sum of TET..Y_inv10,0,0.000199526,0.005806201,0.006005727,0.337861535,0.110312718,0.00698338,0.455157633,0.46116336,,tet(B),0.00,0.033,0.000,0.000,0.32,0.295,0.001,0.577,0.29
Sum of TET..K_inv10,0,0.000158489,10.00015849,10.00031698,8.283369558,0.001794328,0.404577495,8.689741381,18.69005836,,tet(Y),0.00,0.000,0.000,0.004,0.02,0.044,0.017,0.001,0.02
Sum of TET..M_inv10,0,0,0,0,3.832791499,0.000158489,2.167271987,6.000221976,6.000221976,,tet(K),4.05,0.000,0.000,7.139,0.38,1.087,0.000,0.046,0.74
Sum of TET..Q_inv10,0.000125893,0.393878817,1.188913862,1.582918572,0.060844337,0.053281001,0.00341667,0.117542008,1.70046058,,tet(M),0.00,0.000,0.000,0.000,0.26,0.503,0.000,0.244,0.24
Sum of TET..S_inv10,0.000251189,0.011766943,0.980916191,0.992934323,2.456710399,2.91663029,5.094770334,10.46811102,11.46104535,,tet(Q),0.64,0.016,0.372,0.849,0.01,0.008,0.008,0.000,0.07
Sum of TET..W_inv10,0,0.001,0,0.001,0,0.000125893,0,0.000125893,0.001125893,,tet(S),0.40,0.033,0.011,0.700,0.46,0.322,0.462,0.574,0.45
Sum of sulII_inv10,0,0.00605216,0.826349118,0.832401279,0.651646097,1.202770458,3.175340598,5.029757154,5.862158432,,tet(W),0.00,0.000,0.001,0.000,0.00,0.000,0.000,0.000,0.00
Sum of sulI_inv10,0,0.000794328,5.032562553,5.033356881,0,0,0.003162278,0.003162278,5.036519159,,sulI,0.34,0.000,0.006,0.590,0.22,0.086,0.190,0.358,0.23
Sum of str_inv10,0,0.008463325,0.000199526,0.008662851,0.024339816,0.08248714,0.922388634,1.029215589,1.037878441,,sulII,2.04,0.000,0.001,3.593,0.00,0.000,0.000,0.000,0.20
Sum of aadA_inv10,0,0.001588656,0.224645096,0.226233752,0.476135501,1.822125579,4.057709274,6.355970354,6.582204106,,str,0.00,0.000,0.008,0.000,0.05,0.003,0.013,0.104,0.04
Sum of catI_inv10,0,0.003162278,0,0.003162278,0.000199526,0,1,0.500099763,0.334453935,,aadA,0.09,0.000,0.002,0.160,0.28,0.062,0.288,0.457,0.26
Sum of ermB_inv10,0.630957344,0.055843178,0.000125893,0.686926415,0.084482597,0.016848932,1.442289661,1.54362119,2.230547605,,catI,0.00,0.000,0.003,0.000,0.02,0.000,0.000,0.113,0.01
Sum of ermF_inv10,0.001995262,0.172979694,0.039810717,0.214785674,0,0,0.001258925,0.001258925,0.216044599,,ermB,0.28,81.718,0.053,0.000,0.07,0.011,0.003,0.163,0.09
Sum of qnrB_inv10,0.000398107,0.003162278,0.794328235,0.79788862,142.6079907,1.039810717,33.30528139,176.9530829,177.7509715,,ermF,0.09,0.258,0.164,0.028,0.00,0.000,0.000,0.000,0.01
Sum of qnrS_inv10,0.000251189,0,0,0.000251189,2.995262315,0.000501187,85.65955014,88.65531364,88.65556483,,qnrB,0.32,0.052,0.003,0.567,7.76,18.713,0.165,3.753,7.03
Sum of mcr.1_inv10,0,0,0,0,6.492958137,2.519262027,3.981071706,12.99329187,12.99329187,,qnrS,0.00,0.033,0.000,0.000,3.89,0.393,0.000,9.654,3.51
Sum blaTEM,0.137883532,105.0760519,120.9822251,226.1961605,591.5193423,621.8425687,740.9842636,1954.346175,2180.542335,,mcr.1,0.00,0.000,0.000,0.000,0.57,0.852,0.399,0.449,0.51
SUM TOTAL,0.772113705,105.7764967,140.0764917,246.625102,762.0718955,631.6131597,887.3368103,2280.521766,2526.97806,,Total,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
% Total,0.313071824,42.88959063,56.79733754,,33.41655874,27.69599349,38.90937695,,,,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
% Grand Total,,,,9.759685135,,,,90.2469951,,,,,1.00,2.00,3.00,,1.00,2.00,3.00,
,,,,,,,,,,,Tetracyclines,5.12,0.08,0.42,8.69,1.45,2.26,0.49,1.44,1.81
,,,,,,,,,,,Sulfonamides,2.38,0.00,0.01,4.18,0.22,0.09,0.19,0.36,0.43
,,,,,,,,,,,Aminoglycosides,0.10,0.00,0.01,0.16,0.32,0.07,0.30,0.56,0.30
,,,,,,,,,,,Phenicols,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.11,0.01
,,,,,,,,,,,Macrolides,0.37,81.98,0.22,0.03,0.07,0.01,0.00,0.16,0.10
,,,,,,,,,,,Quinolones,0.32,0.08,0.00,0.57,11.65,19.11,0.16,13.41,10.54
,,,,,,,,,,,Polymyxins,0.00,0.00,0.00,0.00,0.57,0.85,0.40,0.45,0.51
,,,,,,,,,,,Beta,91.72,17.86,99.34,86.37,85.70,77.62,98.45,83.51,86.29
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,total,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
