cisa,yr,id,nes,samp,ad,age,fledged,hatched,eggs,nsuccess,mean_lui,TET..A,TET..B,TET..Y,TET..K,TET..M,TET..Q,TET..S,TET..W,sulI,sulII,str,aadA,catI,catII,ermB,ermF,qnrB,blaTEM,qnrS,mecA,mcr.1,TET,SULF,AMIN,PHEN,MACR,BLACT,QUIN,POLIMYX
21001,2020,55,8,2,F3AA,4,0,4,4,0,,-8,-8,-8,-8,-8,-2.1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-0.5,-8,-8,-8,1,0,0,0,0,1,0,0
21002,2020,57,10,2,N170,9,3,3,3,100,,-8,-8,-8,-8,-8,-1.6,-2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-1.6,-8,-8,-8,1,0,0,0,0,1,0,0
21003,2020,51,12,1,C98A,,2,2,5,40,,-8,-8,-8,-8,-8,-5.2,-8,-8,-8,-4.1,-8,-4.4,-8,-8,-8,-8,-8,-4.2,-8,-8,-8,1,1,1,0,0,1,0,0
21004,2020,29,34,2,A09X,10,0,5,5,0,,-8,-8,-8,-5.7,-8,-4.5,-4.4,-8,-8,-8,-8,-8,-8,-8,-3.8,-8,-8,-3.4,-8,-8,-8,1,0,0,0,1,1,0,0
21005,2020,27,35,2,CX94_F104,5,2,2,3,67,,-8,-8,-8,-8,-8,-3,-3.5,-3,-8,-3,-3.8,-3.1,-8,-8,-2.4,-8,-2.5,-2.2,-8,-8,-8,1,1,1,0,1,1,1,0
21006,2020,9,40,2,SXX1,,2,4,5,40,,-8,-8,-8,-8,-8,-2.7,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-1.7,-8,-8,-8,1,0,0,0,0,1,0,0
21007,2020,35,109,2,CXW3,5,3,4,5,60,,-8,-8,-8,-8,-8,-3.4,-3.6,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-2.9,-8,-8,-8,1,0,0,0,0,1,0,0
21008,2020,39,143,1,0|005_02L1,2.5,2,4,4,50,,-8,-8,-8,-5,-8,-4.4,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-3,-8,-8,-8,1,0,0,0,0,1,0,0
21009,2020,33,147,2,0|05W,3,,4,4,0,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-0.3,-8,-8,-8,0,0,0,0,0,1,0,0
21010,2020,1,157,2,X219,,2,2,2,100,,-8,-8,-3.7,-4.9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-3.8,-8,-8,-8,1,0,0,0,0,1,0,0
21011,2020,3,160,1,CXCN,5,0,0,0,0,,-8,-3.6,-8,-4.3,-8,-3.9,-3.6,-8,-8,-8,-8,-4.2,-8,-8,-8,-8,-5,-2.8,-8,-8,-8,1,0,1,0,0,1,1,0
21012,2020,23,230,2,,,,2,3,0,,-8,-8,-8,-5,-8,-8,-4,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-3.4,-8,-8,-4.5,1,0,0,0,0,1,0,1
21013,2020,15,234,2,C982,6,,4,4,0,,-8,-8,-8,-8,-8,-0.5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1.7,-8,-8,-8,1,0,0,0,0,1,0,0
21014,2020,43,236,2,N4N6,7,1,2,2,50,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-0.8,-8,1.7,-8,-8,-8,0,0,0,0,1,1,0,0
21015,2020,17,240,2,N0XF,10,,4,4,0,,-8,-3.7,-8,-3.8,-8,-8,-3.7,-8,-8,-8,-8,-8,-8,-8,-2.8,-8,-8,-3.5,-8,-8,-8,1,0,0,0,1,1,0,0
21016,2020,37,300,1,F3C0,4,1,4,3,33,,-8,-8,-8,-4.8,-4.5,-8,-8,-8,-8,-4.2,-4.6,-4.5,-4.2,-8,-0.2,-2.7,-8,-4,-8,-8,-8,1,1,1,1,1,1,0,0
